ID_Num Approach_pre Approach_rate_pre Avoid_pre Avoid_rate_pre AmbigApproach_pre AmbigApproach_rate_pre AmbigAvoid_pre AmbigAvoid_rate_pre Approach_post Approach_rate_post Avoid_post Avoid_rate_post AmbigApproach_post AmbigApproach_rate_post AmbigAvoid_post AmbigAvoid_rate_post
2003 16 2.56280199684989 16 2.592422564878079 6 2.0078081427774612 7 2.157829839704069 16 2.6059339287168592 16 3.2201797933717957 9 2.0405078597339767 5 3.0969340353050447
2004 0 NA 14 2.217529039070749 2 2.026000337666723 7 1.9760056457304163 13 1.9685039370078745 15 2.225739440102875 1 1.7306028266512934 11 1.6669613315485041
2008 15 2.0715847623431887 16 3.06210328219195 10 1.7591696719148546 6 2.3102098440608385 16 1.9503077829470006 16 2.278228677203481 6 1.8162554866051184 8 2.317944755649998
2009 16 2.6278331325960798 16 2.5018242468466623 6 1.9421665947345716 10 2.6227215106875925 16 2.582241708583264 16 2.012916212362666 12 1.7437636231533076 2 1.953125
2011 16 2.5220018389596843 16 2.557817329212405 14 1.902346227013316 1 1.5286624203821617 16 2.7485112230874917 16 2.79029210870513 13 2.696163152436914 3 1.9069816717872756
2016 15 2.004275788348476 16 2.1370851049620434 8 1.7111689422836986 8 2.161188653759564 16 2.1647950209714493 16 2.3464998044583525 13 2.3455119530897575 3 2.1634615384615383
2017 15 2.36717517096265 16 2.798425885439437 10 2.2801550505434327 6 2.5970278459096736 NA NA NA NA NA NA NA NA
2020 15 2.282294466703855 16 2.5175045236409384 8 1.8730245444257967 7 2.3606115107913657 16 2.3212515414560992 16 2.2389103969401605 9 1.8577768603571112 7 2.05700852189245
2021 16 1.8531029823376086 16 2.214583958107452 10 1.3891783010349386 3 2.162681725339418 16 2.67431818814943 16 2.5600682684871594 11 2.0143445750038236 5 2.5477707006369408
2023 6 1.6803584764749797 7 2.1998742928975488 2 1.3123359580052494 0 NA 14 1.9979069546189674 15 1.9562665739251381 7 1.5155889145496562 4 1.4589665653495452
2025 16 2.382074886479242 16 2.756244616709732 15 2.049460308785354 1 2.278769464489176 16 2.9409962624839228 16 3.0414396147509786 14 2.3588217123922397 2 2.4788266887006865
2028 16 2.312027358990417 16 2.582728006456828 15 2.06100577081616 0 NA NA NA NA NA NA NA NA NA
2029 16 2.2028958902223548 16 2.3710143495764204 3 1.8645121193287775 13 2.053063802905879 15 2.52051418489372 16 2.383671847842278 4 1.9551934826883897 12 2.0917463176549163
2030 16 2.065626681011294 16 2.3454105690063782 9 1.7461600646725943 6 2.2784810126582307 16 2.8140939203845954 16 2.650323008116621 12 2.132511921334004 3 2.763703362505741
2040 13 2.229335772264772 16 2.2593551423864424 1 1.7751479289940828 13 1.8694724732162091 NA NA NA NA NA NA NA NA
2044 16 2.312472900708194 16 2.6723825961083465 12 2.230275996654589 3 2.0939972080037275 NA NA NA NA NA NA NA NA
2045 16 2.7637829278825303 16 3.029155622870121 9 1.5636310988851936 6 2.282960238442505 NA NA NA NA NA NA NA NA
