"ID_Num" "posttreatment_1" "posttreatment_2" "pretreatment_1" "pretreatment_2"
2003 2 2 2 2
2004 2 2 2 2
2008 2 2 2 2
2009 2 2 2 2
2011 2 2 2 2
2016 2 2 2 2
2017 0 0 2 2
2020 2 2 2 2
2021 2 2 2 2
2023 2 2 2 0
2025 2 2 2 2
2028 0 0 2 2
2029 2 2 2 2
2030 2 2 2 2
2040 2 2 2 2
2044 0 0 2 2
2045 0 0 2 2
2046 0 0 2 2
2047 2 2 2 2
2050 2 2 2 2
2051 2 2 2 2
2054 2 2 2 2
2055 2 2 2 2
2056 2 2 2 2
2058 2 2 2 2
2059 2 2 2 2
2061 2 2 2 2
2062 2 2 2 2
2065 2 2 2 2
2067 2 2 0 0
2068 2 2 2 2
2069 2 2 2 2
2073 2 2 0 0
2074 2 2 2 2
2075 2 2 2 2
2077 0 0 2 2
2079 2 2 2 2
2081 2 2 2 2
2082 2 2 2 2
2083 2 2 2 2
2088 2 2 2 2
2089 2 2 2 2
2090 2 2 2 2
2091 2 2 2 2
2092 0 0 2 2
2095 2 2 2 2
2098 2 2 2 2
2099 2 2 2 2
2100 2 2 2 2
2101 2 2 2 2
2102 0 0 2 2
2103 2 2 2 2
2106 2 2 2 2
2107 2 2 2 2
2108 0 0 2 2
2110 2 2 2 2
2112 0 0 2 2
2114 0 0 2 2
2116 0 0 2 2
2119 0 0 2 2
2120 2 2 2 2
2121 2 2 2 2
2122 2 2 2 2
2125 2 2 2 2
2126 2 2 2 2
2127 0 0 2 2
2130 0 0 2 2
2131 2 2 2 2
2133 0 0 2 2
2134 2 2 2 2
2139 0 0 2 2
2142 2 2 2 2
2143 2 2 2 2
2153 2 2 2 2
2154 2 2 2 2
2155 0 0 2 2
2157 2 2 2 2
2158 2 2 2 2
2162 2 2 2 2
2163 2 2 2 2
2165 2 2 2 2
2168 2 2 2 2
2173 2 2 2 2
2183 0 0 2 2
2188 0 0 2 2
2189 0 0 2 2
2194 0 0 2 2
2197 0 0 2 2
2207 2 2 2 2
2221 2 2 2 2
2224 0 0 2 2
2225 2 2 2 2
2227 0 0 2 2
2229 2 2 2 2
2230 2 2 2 2
2231 2 2 2 2
2235 0 0 2 0
2237 2 2 2 2
2238 2 2 2 2
2244 0 0 2 2
2245 2 2 2 2
2246 2 2 2 2
2248 2 2 2 2
2252 0 0 2 2
2256 2 2 2 2
2260 0 0 2 2
2261 2 2 2 2
2264 0 0 2 2
2265 2 2 2 2
2270 2 2 2 2
2271 2 2 2 2
2273 2 2 2 2
2279 2 2 2 2
2283 2 2 2 2
2284 2 2 2 2
2285 2 2 2 2
2287 2 2 2 2
2292 2 2 2 2
2293 2 2 2 2
2295 2 2 2 2
2296 2 2 2 2
2298 2 2 2 2
2299 2 2 2 2
2303 0 0 2 0
2306 2 2 2 2
2307 2 2 2 2
2308 2 2 2 2
2309 0 0 2 2
2310 2 2 2 2
2317 2 2 2 2
2320 2 2 2 2
2322 2 0 2 2
2325 2 2 2 2
2326 2 2 2 2
2327 2 2 2 2
2333 0 0 2 2
2340 0 0 2 2
2342 0 0 2 2
2345 0 0 2 2
2346 0 0 2 2
2349 2 2 2 2
2350 0 0 2 2
2351 2 2 2 2
2352 2 2 2 2
2353 2 2 2 2
2354 2 2 2 2
2363 2 2 2 2
2367 0 0 2 2
2377 2 2 2 2
2386 2 2 2 2
2387 2 2 2 2
2393 2 2 2 2
2396 2 2 2 2
2399 0 0 2 2
2400 2 2 2 2
2406 2 2 0 0
2411 0 0 2 2
2412 0 0 2 2
2413 0 0 2 2
2414 2 2 2 2
2415 2 2 2 2
2419 2 2 2 2
2420 2 2 2 2
2424 2 2 2 2
2427 2 2 2 2
2428 2 2 2 2
2433 2 2 2 2
2441 2 2 2 2
2443 2 2 2 2
4000 0 0 2 2
