"ID_Num" "posttreatment_1" "posttreatment_2" "pretreatment_1" "pretreatment_2"
2003 0 0 15 43
2004 50 69 3 27
2008 17 21 1 0
2009 23 34 26 65
2011 42 91 13 30
2016 2 9 10 17
2017 NA NA 20 51
2020 2 38 0 4
2021 22 28 55 47
2023 187 161 114 NA
2025 1 1 12 41
2028 NA NA 18 14
2029 16 33 104 85
2030 9 22 41 40
2040 41 81 47 23
2044 NA NA 0 7
2045 NA NA 58 76
2046 NA NA 15 45
2047 1 0 49 33
2050 20 42 55 84
2051 37 61 15 49
2054 81 98 12 31
2055 7 9 37 54
2056 22 33 118 86
2058 0 0 12 13
2059 0 0 38 42
2061 0 0 38 20
2062 0 1 15 15
2065 2 19 8 34
2067 58 57 NA NA
2068 115 158 44 51
2069 65 53 86 91
2073 12 27 NA NA
2074 0 0 25 60
2075 15 34 6 26
2077 NA NA 0 0
2079 16 37 82 91
2081 30 28 12 21
2082 9 9 2 3
2083 12 17 38 24
2088 32 61 7 24
2089 1 19 6 12
2090 47 35 16 26
2091 14 28 40 70
2092 NA NA 122 158
2095 22 13 11 9
2098 4 11 5 44
2099 24 17 8 10
2100 38 38 21 16
2101 17 10 11 15
2102 NA NA 74 95
2103 1 8 0 14
2106 41 48 8 22
2107 42 72 63 55
2108 NA NA 8 8
2110 122 124 74 107
2112 NA NA 21 16
2114 NA NA 30 50
2116 NA NA 53 61
2119 NA NA 98 205
2120 0 0 11 23
2121 13 31 56 91
2122 25 13 102 143
2125 0 7 8 14
2126 34 71 41 59
2127 NA NA 12 3
2130 NA NA 12 19
2131 1 5 6 13
2133 NA NA 102 121
2134 0 2 0 0
2139 NA NA 13 14
2142 0 14 19 28
2143 2 1 1 38
2153 33 41 47 28
2154 20 30 28 30
2155 NA NA 2 6
2157 6 0 0 0
2158 0 0 0 0
2162 8 36 33 62
2163 3 28 24 2
2165 16 26 6 7
2168 4 6 97 74
2173 0 0 2 7
2183 NA NA 3 1
2188 NA NA 124 80
2189 NA NA 20 20
2194 NA NA 3 14
2197 NA NA 0 4
2207 8 8 0 0
2221 20 20 54 47
2224 NA NA 0 0
2225 1 2 1 6
2227 NA NA 2 6
2229 3 17 23 25
2230 28 15 0 0
2231 39 49 12 96
2235 NA NA 178 NA
2237 12 0 11 22
2238 38 26 5 1
2244 NA NA 5 14
2245 93 113 11 31
2246 19 37 8 11
2248 37 33 7 45
2252 NA NA 73 64
2256 4 7 8 3
2260 NA NA 5 45
2261 0 0 0 0
2264 NA NA 7 32
2265 2 8 36 29
2270 1 6 4 2
2271 5 1 1 0
2273 49 65 2 2
2279 1 0 3 13
2283 55 51 21 3
2284 29 39 35 17
2285 51 55 11 8
2287 9 21 1 1
2292 2 2 1 0
2293 35 60 7 47
2295 3 8 0 8
2296 0 0 0 0
2298 0 15 18 78
2299 39 52 63 89
2303 NA NA 156 NA
2306 0 0 1 1
2307 25 32 13 24
2308 152 157 92 138
2309 NA NA 106 125
2310 0 0 26 23
2317 0 0 1 1
2320 34 49 35 36
2322 10 NA 25 24
2325 9 0 7 5
2326 41 76 67 80
2327 0 0 0 7
2333 NA NA 33 55
2340 NA NA 92 93
2342 NA NA 13 29
2345 NA NA 25 54
2346 NA NA 1 2
2349 8 14 37 62
2350 NA NA 3 18
2351 2 1 11 7
2352 13 2 1 0
2353 20 41 4 7
2354 3 5 1 0
2363 1 14 0 2
2367 NA NA 9 15
2377 6 15 56 50
2386 22 24 3 0
2387 34 33 35 70
2393 3 9 3 28
2396 10 31 2 3
2399 NA NA 4 2
2400 36 65 16 2
2406 7 17 NA NA
2411 NA NA 0 5
2412 NA NA 16 59
2413 NA NA 24 15
2414 7 0 0 6
2415 27 25 19 28
2419 3 11 0 6
2420 11 97 10 41
2424 12 9 19 12
2427 5 6 10 1
2428 14 6 46 95
2433 54 76 15 13
2441 19 30 18 7
2443 6 24 53 49
4000 NA NA 6 4
